start_ip,end_ip,asn,name,domain
12.228.187.0,12.229.7.255,AS7018,"AT&T Services, Inc.",att.com
12.229.8.0,12.229.8.255,AS6319,Marriot Corporation,marriott.com
12.229.9.0,12.229.63.255,AS7018,"AT&T Services, Inc.",att.com
12.229.64.0,12.229.64.255,AS400267,FOUR WINDS CASINO AND RESORT,fourwindscasino.com
12.229.65.0,12.229.145.255,AS7018,"AT&T Services, Inc.",att.com
12.229.146.0,12.229.146.255,AS21900,LAW BULLETIN PUBLISHING COMPANY,lawbulletinmedia.com
12.229.147.0,12.231.57.255,AS7018,"AT&T Services, Inc.",att.com
12.231.58.0,12.231.58.255,AS13968,CALIFORNIA ISO,caiso.com
12.231.59.0,12.231.68.255,AS7018,"AT&T Services, Inc.",att.com
12.231.69.0,12.231.69.255,AS18651,"EMANUEL MEDICAL CENTER, INC",emanuelmedicalcenter.org
12.231.70.0,12.231.107.255,AS7018,"AT&T Services, Inc.",att.com
12.231.108.0,12.231.108.255,AS23349,"Farmers Group, Inc.",farmersinsurance.com
12.231.109.0,12.231.165.255,AS7018,"AT&T Services, Inc.",att.com
12.231.166.0,12.231.167.255,AS54638,"NETSOURCE ONE, INC",nsoit.com
12.231.168.0,12.232.35.255,AS7018,"AT&T Services, Inc.",att.com
12.232.36.0,12.232.36.255,AS26151,Arthrex Inc.,arthrex.com
12.232.37.0,12.233.25.255,AS7018,"AT&T Services, Inc.",att.com
12.233.26.0,12.233.26.255,AS395234,ANESTHESIA BUSINESS CONSULTANTS LLC,anesthesiallc.com
12.233.27.0,12.233.175.255,AS7018,"AT&T Services, Inc.",att.com
12.233.176.0,12.233.176.255,AS32158,Berkley Technology Services LLC,wrberkley.com
12.233.177.0,12.234.6.255,AS7018,"AT&T Services, Inc.",att.com
12.234.7.0,12.234.7.255,AS46775,"Drummond Company, Inc.",drummondco.com
12.234.8.0,12.234.154.255,AS7018,"AT&T Services, Inc.",att.com
12.234.155.0,12.234.155.255,AS394928,ORORA PACKAGING SOLUTIONS,amcor.com
12.234.156.0,12.235.7.255,AS7018,"AT&T Services, Inc.",att.com
12.235.8.0,12.235.8.255,AS13750,"Transaction Network Services, Inc.",tnsi.com
12.235.9.0,12.235.150.255,AS7018,"AT&T Services, Inc.",att.com
12.235.151.0,12.235.151.255,AS396089,NEXCUS TECHNOLOGIES LLC,nexcus.com
12.235.152.0,12.235.232.255,AS7018,"AT&T Services, Inc.",att.com
12.235.233.0,12.235.233.255,AS399553,Trustmark Health Benefits,trustmarkbenefits.com
12.235.234.0,12.235.244.255,AS7018,"AT&T Services, Inc.",att.com
12.235.245.0,12.235.245.255,AS398337,"Point Broadband Fiber Holding, LLC",getcip.com
12.235.246.0,12.236.3.255,AS7018,"AT&T Services, Inc.",att.com
12.236.4.0,12.236.4.255,AS395742,"The Brookfield Group, LLC.",thebrookfieldgroup.com
12.236.5.0,12.236.155.255,AS7018,"AT&T Services, Inc.",att.com
12.236.156.0,12.236.157.255,AS62813,Star Creations Inc.,starcreationsinc.net
12.236.158.0,12.236.217.255,AS7018,"AT&T Services, Inc.",att.com
12.236.218.0,12.236.218.255,AS36406,United States Fire Insurance Company,cfins.com
12.236.219.0,12.237.3.255,AS7018,"AT&T Services, Inc.",att.com
12.237.4.0,12.237.7.255,AS26311,Ranch WiFi LLC,ranchwifi.com
12.237.8.0,12.237.64.255,AS7018,"AT&T Services, Inc.",att.com
12.237.65.0,12.237.65.255,AS55196,"Long Term Care Partners, LLC",ltcpartners.com
12.237.66.0,12.237.102.255,AS7018,"AT&T Services, Inc.",att.com
12.237.103.0,12.237.103.255,AS14623,Lubbock Christian University,lcu.edu
12.237.104.0,12.237.195.255,AS7018,"AT&T Services, Inc.",att.com
12.237.196.0,12.237.197.255,AS30101,CSE SAFEGUARD INSURANCE COMPANY,intelletrace.com
12.237.198.0,12.238.158.255,AS7018,"AT&T Services, Inc.",att.com
12.238.159.0,12.238.159.255,AS32912,"Publix Super Markets, Inc.",publix.com
12.238.160.0,12.239.212.255,AS7018,"AT&T Services, Inc.",att.com
12.239.213.0,12.239.213.255,AS22040,Linxus Internet,linxusinternet.com
12.239.214.0,12.255.255.255,AS7018,"AT&T Services, Inc.",att.com
13.0.200.0,13.0.207.255,AS33631,Palo Alto Research Center Incorporated,parc.com
